사용월,호선명,지하철역,04시-05시 하차인원,05시-06시 하차인원,06시-07시 하차인원,07시-08시 하차인원,08시-09시 하차인원,09시-10시 하차인원,10시-11시 하차인원,11시-12시 하차인원,12시-13시 하차인원,13시-14시 하차인원,14시-15시 하차인원,15시-16시 하차인원,16시-17시 하차인원,17시-18시 하차인원,18시-19시 하차인원,19시-20시 하차인원,20시-21시 하차인원,21시-22시 하차인원,22시-23시 하차인원,23시-24시 하차인원,00시-01시 하차인원,01시-02시 하차인원,02시-03시 하차인원,03시-04시 하차인원
202105,중앙선,신원,0,7,131,574,441,750,966,634,428,325,346,263,279,313,325,194,195,151,101,121,13,0,0,0
202105,중앙선,아신,0,46,183,630,962,1373,1121,1258,1365,834,802,1096,1068,1572,1188,1227,945,967,585,647,64,0,0,0
202105,중앙선,양수,0,177,1073,2571,3256,4998,4921,4385,4291,4102,3980,3219,3465,3941,3657,3773,2882,2494,2251,1467,1,0,0,0
202105,중앙선,양원,0,315,2752,6335,4663,1720,1951,1988,1644,2546,2087,2313,2720,2973,3923,3035,2080,1559,1785,865,42,0,0,0
202105,중앙선,양정,0,234,1256,1865,2303,1414,1250,1017,877,860,816,904,867,1066,1381,1104,693,542,624,327,40,0,0,0
202105,중앙선,양평,1,75,1883,3720,6501,4491,5263,6938,6292,4487,5639,5720,5009,7261,6124,4317,4654,2609,2439,2848,613,0,0,0
202105,중앙선,오빈,0,9,312,286,704,553,641,568,564,418,429,473,537,939,610,464,314,458,357,227,44,0,0,0
202105,중앙선,용문,3,4,625,2696,4112,3306,5742,8574,9010,4402,5149,4413,3145,4146,3144,2496,2929,1563,1484,1416,568,0,0,0
202105,중앙선,운길산,0,84,606,896,1790,3532,5064,3830,3756,2149,2138,1522,1252,1251,1082,1185,488,559,657,315,0,0,0,0
202105,중앙선,원덕,1,5,152,424,758,864,1343,1173,948,492,724,683,661,880,736,582,430,486,317,253,42,0,0,0
202105,중앙선,중랑,0,544,2167,2913,5668,4873,4572,4909,5764,6447,6971,9099,10876,13956,20839,14567,10286,8260,9328,4013,311,0,0,0
202105,중앙선,지평,0,0,0,388,201,0,669,0,0,173,282,3,2,231,64,277,5,88,69,0,0,0,0,0
202105,중앙선,팔당,0,112,695,1607,2797,4164,4740,3568,3191,2270,2168,2311,1979,1985,2024,1276,787,633,487,245,0,0,0,0
202105,중앙선,회기,4,3219,11083,25412,46197,29448,26945,25237,28987,33752,30931,33882,36762,48315,68173,54323,34210,36162,45991,20575,2457,0,0,0
202005,1호선,동대문,13,2198,7173,12507,25104,23527,22714,25220,25909,24403,23966,22634,19352,19093,18922,20328,14643,10925,10333,10298,1012,0,0,0
202005,1호선,동묘앞,1,815,3940,9301,20578,15266,18732,25565,29556,30801,31734,26544,19567,13963,10350,6369,4049,3944,4005,3198,1578,2,0,0
