사용월,호선명,지하철역,04시-05시 승차인원,05시-06시 승차인원,06시-07시 승차인원,07시-08시 승차인원,08시-09시 승차인원,09시-10시 승차인원,10시-11시 승차인원,11시-12시 승차인원,12시-13시 승차인원,13시-14시 승차인원,14시-15시 승차인원,15시-16시 승차인원,16시-17시 승차인원,17시-18시 승차인원,18시-19시 승차인원,19시-20시 승차인원,20시-21시 승차인원,21시-22시 승차인원,22시-23시 승차인원,23시-24시 승차인원,00시-01시 승차인원,01시-02시 승차인원,02시-03시 승차인원,03시-04시 승차인원
201905,6호선,마포구청,23,8251,16561,46377,64890,39420,26245,23219,23501,23400,20649,21700,24150,27873,41894,22041,15270,15082,12756,5796,968,0,0,0
201905,6호선,망원,24,6792,11618,32564,46413,30389,22028,20075,22691,23626,22762,23686,26422,28619,39691,28512,22511,22316,18443,9392,1420,0,0,0
201905,6호선,버티고개,1,1066,2219,6513,9729,6827,5031,4407,4155,4177,3465,3902,3894,5091,7188,4451,2973,2543,1816,1000,148,0,0,0
201905,6호선,보문,13,4474,8306,23377,36279,20196,12901,11579,13135,12556,11936,11409,12812,15309,19796,11954,8258,7689,6609,4471,857,1,0,0
201905,6호선,봉화산(서울의료원),21,6185,18789,58613,54329,27151,19199,16733,16018,14569,12542,12229,13958,15682,14894,8307,6190,5169,4580,2094,287,0,0,0
201905,6호선,불광,33,1902,4176,12934,14957,8662,7294,8070,9398,10599,10946,12270,13076,13612,13550,9496,7842,6838,4870,1810,296,0,0,0
201905,6호선,삼각지,2,1755,4124,8190,12918,11075,8011,9559,11501,13442,13090,15102,17406,22198,30145,14616,10587,11271,10834,5626,855,0,0,0
201905,6호선,상수,0,4735,6322,11359,17330,11277,8729,9859,13056,15606,16038,17977,21770,27922,35794,24747,23925,28951,31634,22771,4050,0,0,0
201905,6호선,상월곡(한국과학기술연구원),9,5272,9532,27595,30961,17197,11335,10575,10977,11774,10509,9722,13284,13197,13754,8846,5304,7631,3512,1751,256,0,0,0
201905,6호선,새절(신사),1,11557,23291,62700,73766,38372,26108,23113,23726,22549,19007,18979,25013,25614,22638,14151,11254,10390,9108,3687,614,2,0,0
201905,6호선,석계,948,8692,21917,57561,65461,37262,25336,21328,22408,22037,18629,18797,20826,22405,22380,15919,12027,10864,9891,6654,1315,0,0,0
201905,6호선,신당,52,9781,8413,8869,13520,12850,10957,12178,15110,13112,14067,16275,23156,23778,29761,19581,15637,16471,15678,9279,1393,0,0,0
201905,6호선,안암(고대병원앞),32,4158,4424,10009,14941,13648,15301,18280,21056,23358,23529,35077,44407,53594,54725,33999,31018,34827,38386,29650,5863,1,0,0
201905,6호선,약수,2,1566,2309,6136,9727,6686,5461,5446,6671,6611,6658,6743,7589,9483,13464,8268,6562,6990,5258,2735,468,0,0,0
201905,6호선,역촌,14,2280,6216,18745,19282,10634,7421,6704,7308,7625,6650,5977,5815,6670,6631,3857,2689,2380,1909,876,89,0,0,0
201905,6호선,연신내,0,0,0,0,1,0,1,0,2,1,3,1,2,2,2,1,1,2,3,0,0,0,0,0
201905,6호선,월곡(동덕여대),27,7459,14412,47588,54933,29250,21182,19694,20923,22604,20917,21173,27534,27878,32765,18569,14832,12598,9676,4398,791,0,0,0
201905,6호선,월드컵경기장(성산),10,1409,3341,10325,12926,8091,8319,12454,14774,13947,14903,16748,19068,19114,18436,12297,11693,24352,23911,3356,570,0,0,0
201905,6호선,응암,0,12208,28379,80087,99890,54379,33668,30029,31257,29658,24877,24089,26343,28533,26589,18075,13411,12008,9363,4614,609,1,0,0
201905,6호선,이태원,3,17324,12956,15709,20712,16063,14347,15243,19967,21984,23757,26485,31004,38394,42986,35725,35814,42231,45667,31927,4825,0,0,0
201905,6호선,증산(명지대앞),14,9113,17395,47165,56338,31081,20661,17478,17436,17300,14559,14166,15384,16132,16832,10793,8157,6825,5926,2590,507,1,0,0
201905,6호선,창신,28,2811,6071,16764,21333,10656,6327,5300,5616,5536,4585,5279,6929,6188,6196,4148,4063,2641,2242,1003,190,0,0,0
201905,6호선,청구,1,2088,3402,8565,11943,7400,5122,5797,5270,5381,5282,5475,6151,7793,13514,9921,6405,5985,4078,2044,383,0,0,0
201905,6호선,태릉입구,23,4339,8087,21153,25924,14128,10071,9451,11255,10908,10634,11266,13188,12912,13517,9551,8374,7654,5786,3157,548,0,0,0
201905,6호선,한강진,21,1145,1814,3867,5904,4819,4073,5069,6494,8469,10016,15804,27658,35952,35769,24560,22193,28020,24686,7031,683,0,0,0
201905,6호선,합정,27,5010,8817,20515,30539,22638,18151,18809,20878,23158,23534,25052,28978,37002,55172,36885,31779,36333,33752,18362,3111,0,0,0
201905,6호선,화랑대(서울여대입구),8,6828,22977,72966,71417,36430,23382,21305,21459,19990,18376,20291,23865,26225,23052,11488,8785,7024,5158,2644,264,1,0,0
201905,6호선,효창공원앞,7,2762,5711,17612,29479,17184,10888,10875,12268,12128,11390,13052,15092,17337,26705,14088,9066,8047,6278,3168,492,0,0,0
201905,7호선,가산디지털단지,857,8965,10128,22495,25675,21071,19798,25475,32200,39466,43861,53912,67112,150976,343079,156695,88468,79744,42092,18272,2399,2,0,0
201905,7호선,강남구청,8,2084,4532,8170,12189,10958,11060,13024,15234,18654,21920,27967,28969,39872,89774,55922,37000,35326,28522,11637,1943,1,0,0
201905,7호선,건대입구,47,5272,5788,14899,24160,19586,16153,17912,21477,25433,29361,36981,39947,50592,48838,38424,42130,39858,36842,21842,3664,0,0,0
201905,7호선,고속터미널,47,2115,4027,12018,23671,28994,29782,32628,35696,35840,35960,43104,48334,63404,71598,52003,52422,48074,37601,16590,1598,1,0,0
201905,7호선,공릉(서울과학기술대),39,7479,15755,44668,50622,29087,21721,20484,22572,23242,20742,22555,30648,30477,34384,19918,15660,15004,13944,8271,1651,0,0,0
201905,7호선,광명사거리,176,27611,39275,108424,131993,73603,46228,41193,43071,41903,38053,36518,40388,46015,44709,31189,25102,19660,14247,6626,1068,0,0,0
201905,7호선,군자(능동),88,8948,15786,39252,64742,40833,23166,20223,22218,22221,20758,20314,24520,29167,37760,24950,20225,19028,16417,8003,1609,0,0,0
201905,7호선,굴포천,1,7179,17550,42891,42443,24811,16077,14224,14642,14034,12285,11995,12974,15256,16746,10191,8334,7292,6593,3495,498,1,0,0
201905,7호선,까치울,5,3763,11568,35852,45053,22898,12746,11232,11894,12229,11776,12206,13203,14278,13855,9266,6952,5670,3869,1626,208,0,0,0
201905,7호선,남구로,30,23040,18472,36376,41709,31229,20718,18008,18616,19087,17885,18990,22160,34522,86415,42936,24286,18531,12436,5789,857,0,0,0
201905,7호선,남성,5,6994,14585,45175,65309,37258,22536,19681,19372,19888,16929,16322,17172,18611,21285,12789,10950,11213,8291,4162,814,0,0,0
201905,7호선,내방,4,2661,8228,21159,33226,24298,18193,18241,19191,20962,21144,22750,27512,35969,73983,32292,21930,24030,18042,7089,1303,1,0,0
201905,7호선,노원,78,8667,17438,44127,46042,33364,31676,35014,38763,40836,41071,45784,49868,50099,55322,38279,37035,30740,32165,12393,2446,1,0,0
201905,7호선,논현,36,4202,6251,11393,19705,17618,14839,16318,18173,21088,24292,28444,31235,49575,109203,67222,42527,45530,43960,23286,4498,0,0,0
201905,7호선,대림(구로구청),95,14458,10259,18114,27121,21629,16505,16133,18767,20206,20204,21344,22615,23550,26279,19226,16093,13817,10285,5636,814,0,0,0
201905,7호선,도봉산,28,4947,17910,62568,46880,26670,16546,15305,15959,15558,15182,16187,20223,19275,15938,8616,5351,4081,3531,1288,210,4,0,0
201905,7호선,뚝섬유원지,12,5593,10471,24675,36324,24675,14356,13676,14279,16150,16967,19367,21857,26460,30742,31514,32695,39984,31218,14449,1740,0,0,0
201905,7호선,마들,25,10036,24100,69806,64435,35916,25115,21419,22908,19237,16623,16025,16720,16371,14662,9890,6944,5353,4132,1969,333,0,0,0
201905,7호선,먹골,14,8409,15303,43345,53587,30644,19504,16799,18342,18361,16303,15701,17379,18490,20636,13925,10779,10116,7930,3600,673,0,0,0
201905,7호선,면목,17,12975,26153,67905,87245,47223,28752,24590,26094,25752,22579,24884,30352,29134,27786,22091,15025,12740,12201,5625,911,0,0,0
201905,7호선,반포,5,1397,4078,11283,16553,11795,8245,8125,9435,10470,10590,12434,16245,18675,22437,15756,12349,13968,11101,3480,528,0,0,0
201905,7호선,보라매,29,6627,8140,22362,33935,21225,15835,15197,14608,15236,15211,17265,22891,24363,37479,16030,11950,11210,9018,3516,615,0,0,0
201905,7호선,부천시청,17,6157,16653,47024,44377,23797,17530,16869,18600,18366,17808,19780,23338,28484,31067,21480,22239,19323,14931,5696,925,1,0,0
201905,7호선,부천종합운동장,7,3818,8018,24488,27508,13391,8302,7477,7853,7366,6114,6466,7445,9200,12356,6058,4124,4239,2275,914,101,0,0,0
201905,7호선,부평구청,70,9466,25390,73325,60481,32476,19956,17169,17031,15464,12820,12695,14131,20940,18937,11473,8604,7413,5852,2454,293,0,0,0
201905,7호선,사가정,28,12274,23591,59024,76154,45204,29420,25993,27510,26477,23774,23730,27838,31166,30458,22994,16986,14152,11843,5748,1185,0,0,0
201905,7호선,삼산체육관,5,3452,11063,29709,28385,15410,9843,8625,8959,8490,7734,8586,8872,8516,7878,4882,3667,3118,2102,1116,265,1,0,0
201905,7호선,상도,0,5272,13465,37798,52099,31233,20087,18637,19227,19304,18482,20366,23818,27680,29419,16449,13703,15819,13499,7972,1807,0,0,0
201905,7호선,상동,7,5489,17933,48171,44989,25814,19345,19224,21437,22447,22810,24579,27691,30559,36918,24395,21897,23642,22459,8555,1633,1,0,0
201905,7호선,상봉(시외버스터미널),369,12438,20906,59800,77720,41914,26334,23725,25765,26352,24054,24778,28177,35084,39299,29738,22282,21221,17470,8716,1604,0,0,0
201905,7호선,수락산,12,10382,25813,61954,57606,37109,26307,22901,24294,23763,22496,22562,22869,24143,25187,16344,11019,9061,6472,3117,393,2,0,0
201905,7호선,숭실대입구(살피재),52,7016,14828,45430,62530,35835,24437,23305,23482,26866,27168,27238,41646,45518,38312,25462,21195,24411,20307,12761,2458,0,0,0
201905,7호선,신대방삼거리,28,11420,20378,58688,93087,50055,30549,27222,28399,25824,23355,22951,25127,27677,36501,20863,16280,14493,12048,5801,871,0,0,0
201905,7호선,신중동,14,6151,19037,53848,52422,29511,22365,21022,22718,21977,20983,22511,25160,31274,47493,23361,23692,16454,13490,6739,1070,0,0,0
201905,7호선,신풍,68,12876,16833,41306,54923,33320,20312,18186,19123,19143,16719,16936,20104,23863,24496,14970,10615,9430,7334,3259,589,3,0,0
201905,7호선,어린이대공원(세종대),18,5060,8327,20050,36262,25036,17581,23234,31065,35436,41674,44200,52842,63811,58394,35040,27707,29369,32083,21628,4789,1,0,0
201905,7호선,온수(성공회대입구),59,8195,17458,54450,65513,29420,16348,14622,15882,14378,12537,14661,21038,23230,19723,10343,8229,8213,5715,3085,643,7,0,0
201905,7호선,용마산,3,5619,11767,30075,37000,20155,11482,10415,10303,9404,8183,8545,9368,9444,9594,6529,4333,3245,2558,1296,280,0,0,0
201905,7호선,이수,25,6099,11627,31654,54305,33843,24390,22699,24650,27441,27136,28086,30124,33999,48680,29910,28546,30628,28567,16587,3342,0,0,0
201905,7호선,장승배기,20,8401,14030,36336,53645,32865,20274,17948,18457,18869,16257,16138,16672,17714,20941,12593,9900,9951,9124,3677,793,0,0,0
201905,7호선,장암,1,1378,7254,19716,13326,5438,3197,2499,2785,2758,2765,3230,3680,4648,3886,2419,1528,1141,513,218,18,0,0,0
201905,7호선,중계,12,10332,27337,74027,76868,42867,30547,27760,27398,26583,23196,24558,29744,27557,24295,14875,11689,13988,11110,5660,1250,0,0,0
201905,7호선,중곡,0,6340,14059,36851,54303,31923,19400,16732,17011,16589,14409,14440,17939,20570,17463,12487,8451,7237,5786,2426,523,0,0,0
201905,7호선,중화,6,9933,17333,44514,56742,32377,21173,18448,20932,19430,16812,17331,19276,21691,24531,17210,12914,12564,9859,4391,848,0,0,0
201905,7호선,천왕,29,7433,15340,46838,54906,28851,17736,15255,14829,14179,12763,12854,15788,15328,15093,9237,6684,4873,3655,1666,274,0,0,0
201905,7호선,철산,3,13322,33795,104603,118271,63953,41402,36675,37606,35858,32237,33248,34701,41607,45923,29146,25565,25758,21906,10633,1690,0,0,0
201905,7호선,청담,39,3417,8197,13814,20783,17426,16073,19585,21881,23790,26646,36353,41131,60596,119334,72257,42668,40070,32564,10549,1480,0,0,0
201905,7호선,춘의,0,5499,10804,27159,27516,17203,11804,10933,11754,11884,11003,10866,12767,26967,47056,18247,12879,10193,5268,2248,329,0,0,0
201905,7호선,태릉입구,112,7610,8650,24026,29454,20010,14866,14024,17782,18261,19238,23814,26099,30461,31567,20682,16230,15169,11662,5338,808,6,0,0
201905,7호선,하계,14,9140,27722,81675,87659,49323,34948,33188,35812,32653,30804,34284,42086,40192,36093,22947,17657,16246,14992,5625,983,0,0,0
201905,7호선,학동,3,3339,6300,10284,14568,13780,13245,16381,21369,24234,28480,33581,40004,58245,162294,82868,42842,40886,31179,13161,2202,2,0,0
201905,8호선,가락시장,24,2900,5564,11928,15942,12650,11536,11957,11898,12796,13066,14567,15309,18532,29876,15559,12759,13592,10620,5016,923,1,0,0
201905,8호선,강동구청,10,4860,12013,36921,47616,27927,18385,16235,16344,16899,15405,15055,17113,20439,30484,13466,9614,8548,6126,2382,463,0,0,0
201905,8호선,남한산성입구(성남법원.검찰청),20,11141,23388,60040,78216,41350,25721,23093,25205,22706,20254,23160,27478,31574,31722,16330,10929,8163,6321,2807,491,0,0,0
201905,8호선,단대오거리,20,10078,17316,43492,52615,29798,19921,18336,20213,19422,16602,17825,20561,23013,27658,14997,10113,8607,6814,3184,612,2,0,0
201905,8호선,모란,8,2232,3465,11025,14262,8628,7492,8104,9732,10641,10463,10926,13020,12717,13137,8506,5532,5261,4704,2457,690,1,0,0
201905,8호선,몽촌토성(평화의문),1,1920,4561,11752,17518,12341,11105,12336,15862,14142,13524,12883,13710,17221,26705,12694,11730,11348,7440,3421,522,0,0,0
201905,8호선,문정,5,2566,7641,27844,36512,23644,18839,19480,21057,24151,26684,29575,30679,50644,127471,47704,30799,28586,23884,8203,1201,1,0,0
201905,8호선,복정,7,4670,13548,39555,49750,30340,18099,15618,17512,17018,16385,17973,23453,31482,33428,18202,12904,10964,10321,3861,673,0,0,0
201905,8호선,산성,28,5258,8531,22936,29592,16566,9999,9159,10243,9278,8981,9727,13068,16946,9831,5850,4174,3310,2107,905,177,0,0,0
201905,8호선,석촌,0,3796,6523,19652,30255,17758,12445,12198,13467,13805,12487,13363,14509,17301,21315,12609,12322,14201,9939,4017,596,0,0,0
201905,8호선,송파,8,3504,12210,37724,45484,26892,18023,15809,17223,15858,14193,15819,21001,19165,21866,11851,8565,7148,5245,2207,287,0,0,0
201905,8호선,수진,0,4145,7126,16499,23044,14140,10397,9762,10599,10484,9472,10409,12765,12526,10614,6758,5380,5134,3601,1728,255,1,0,0
201905,8호선,신흥,0,4489,6765,14827,18995,12218,8347,7947,7921,7911,8054,8751,9762,10254,9657,6662,5278,4515,3581,1662,344,1,0,0
201905,8호선,암사,17,14990,27774,92007,116410,59789,34148,28561,28876,27676,23194,21574,24417,26595,27399,17298,12485,10107,7226,3147,664,0,0,0
201905,8호선,잠실(송파구청),26,1753,4100,9829,15523,12371,11335,13549,16984,21824,26572,32766,36784,47810,70993,45034,44104,41598,33205,11494,1610,1,0,0
201905,8호선,장지,0,6050,19461,58622,68431,40652,25792,22827,25379,27669,25714,29239,37475,42564,62366,37107,27815,29935,21398,6332,1122,0,0,0
201905,8호선,천호(풍납토성),49,12189,21127,54277,76166,45882,27560,25417,27037,28860,26442,27474,30890,36941,45160,31401,26204,20273,16949,8184,1624,1,0,0
201905,9호선,가양,56,15827,29954,85899,88209,49985,36950,34306,34857,32972,29298,30572,34080,41986,46852,24634,17972,15959,12111,5108,892,0,0,0
201905,9호선,개화,4,3471,17021,45326,34231,19354,13945,10121,8654,7802,6863,7375,8488,12435,12008,6149,3993,2808,1367,644,201,0,0,0
201905,9호선,고속터미널,4,2614,5594,16418,21482,17580,15490,18001,22465,25811,28149,33023,37407,41159,42489,37806,36331,32454,25086,10506,1463,0,0,0
201905,9호선,공항시장,25,3169,5175,9451,10978,7286,5376,4816,5638,5665,4855,4895,4960,5257,4986,3339,2947,2425,1763,1072,179,0,0,0
201905,9호선,구반포,4,773,2042,5477,6530,5033,4590,4572,5229,6452,6956,6451,7081,7107,9656,6246,4583,4696,4575,1113,164,0,0,0
201905,9호선,국회의사당,7,1354,2242,4347,7809,8878,10183,15648,20007,21149,24914,26806,32443,55439,118967,42840,27381,29872,19995,7087,1044,0,0,0
201905,9호선,김포공항,11,2331,5321,14753,15621,13212,12767,14288,14148,16198,19174,21956,19341,24273,29350,22102,19771,18949,17479,5276,223,1,0,0
201905,9호선,노들,26,3805,6231,18668,21283,12919,9099,8192,8423,8487,6846,6296,7172,7859,7795,4706,3475,3393,2945,1048,244,0,0,0
201905,9호선,노량진,270,16356,25623,67506,100457,57462,37138,35572,41848,47927,42609,42417,47072,57399,74848,43031,41499,52110,69500,20745,2250,2,0,0
201905,9호선,당산,25,8563,20785,55226,68383,41945,31554,30396,31995,31018,28134,27787,30552,39009,51190,29615,24299,22553,19801,10547,1816,1,0,0
201905,9호선,동작(현충원),6,1105,2070,5835,7681,4646,3983,7719,5383,4446,5595,7223,5831,5566,5156,2574,1972,1744,1335,789,150,2,0,0
201905,9호선,등촌,6,5433,14670,39300,44726,25201,18894,18510,18333,17353,15958,15475,17372,18454,19438,10505,8312,7050,5671,2904,623,0,0,0
